Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
386162,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",4,4.23,Del Rey,Paperback,193,2007,1979,2024/01/08,2021/11/12,,,read,,,,1,0
61169711,"Blodmåne (Harry Hole, #13)",Jo Nesbø,"Nesbø, Jo",,"=""820339518X""","=""9788203395185""",4,4.22,Aschehoug,Hardcover,488,2022,2022,2023/12/29,2023/12/28,,,read,,,,1,0
60811532,Girig-Sverige: så blev folkhemmet ett paradis för de superrika,Andreas Cervenka,"Cervenka, Andreas",,"=""""","=""9789127176171""",0,3.99,Natur & Kultur,Hardcover,254,2022,2022,,2022/05/05,currently-reading,currently-reading (#10),currently-reading,,,,1,0
123169859,När ingen lyssnar,Diamant Salihu,"Salihu, Diamant",,"=""""","=""9789180022835""",3,3.96,Mondial,Hardcover,360,2023,,2023/12/29,2023/12/28,,,read,,,,1,0
19161852,The Fifth Season (The Broken Earth #1),N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.31,Orbit,Paperback,468,2015,2015,,2023/11/28,to-read,to-read (#396),to-read,,,,0,0
60310722,Doom Guy: Life in First Person,John Romero,"Romero, John",,"=""141975811X""","=""9781419758119""",0,4.33,Harry N. Abrams,Hardcover,384,2023,2023,,2023/08/06,to-read,to-read (#395),to-read,,,,0,0
23445401,The Real World of Technology (The CBC Massey Lectures),Ursula Martius Franklin,"Franklin, Ursula Martius",,"=""1770897410""","=""9781770897410""",0,4.17,House of Anansi Press,Kindle Edition,224,1999,1990,,2023/08/01,to-read,to-read (#394),to-read,,,,0,0
56262,"The Incal (The Incal, #1-3)",Alejandro Jodorowsky,"Jodorowsky, Alejandro",Randy Lofficier,"=""0936211121""","=""9780936211121""",3,4.03,Graphitti,Hardcover,290,1988,1988,2023/05/14,2010/03/08,,,read,,,,1,0
25663779,The Doomsday Machine: Confessions of a Nuclear War Planner,Daniel Ellsberg,"Ellsberg, Daniel",,"=""1608196704""","=""9781608196708""",0,4.22,Bloomsbury USA,Hardcover,387,2017,2017,,2023/06/16,to-read,to-read (#393),to-read,,,,0,0
60097435,Quit: The Power of Knowing When to Walk Away,Annie Duke,"Duke, Annie",,"=""0593422996""","=""9780593422991""",0,4.20,Portfolio,Hardcover,336,2022,2022,,2023/05/30,to-read,to-read (#392),to-read,,,,0,0
